name,description,img
Play6T Pro,"Honor Play6T Pro Android smartphone. Announced Apr 2022. Features 6.7″  display, MediaTek MT6833P Dimensity 810 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-play-6t-pro.jpg
Magic4 Lite,"Honor Magic4 Lite Android smartphone. Announced Mar 2022. Features 6.81″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic4-lite.jpg
Play6T,"Honor Play6T Android smartphone. Announced Apr 2022. Features 6.74″  display, MediaTek MT6833 Dimensity 700 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-play-6t-new.jpg
50,"Honor 50 Android smartphone. Announced Jun 2021. Features 6.57″  display, Snapdragon 778G 5G chipset, 4300 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-50-.jpg
Magic4 Ultimate,"Honor Magic4 Ultimate Android smartphone. Announced Mar 2022. Features 6.81″  display, Snapdragon 8 Gen 1 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic4-ultimate.jpg
X8,"Honor X8 Android smartphone. Announced Mar 2022. Features 6.7″  display, Snapdragon 680 4G chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x8.jpg
X9,"Honor X9 Android smartphone. Announced Mar 2022. Features 6.81″  display, Snapdragon 680 4G chipset, 4800 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x9-4g.jpg
X9 5G,"Honor X9 5G Android smartphone. Announced Mar 2022. Features 6.81″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x9.jpg
Magic4,"Honor Magic4 Android smartphone. Announced Feb 2022. Features 6.81″  display, Snapdragon 8 Gen 1 chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic4.jpg
8X,"Honor 8X Android smartphone. Announced Sep 2018. Features 6.5″  display, Kirin 710 chipset, 3750 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x.jpg
50 Lite,"Honor 50 Lite Android smartphone. Announced Oct 2021. Features 6.67″  display, 4300 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-50-lite.jpg
Magic4 Pro,"Honor Magic4 Pro Android smartphone. Announced Feb 2022. Features 6.81″  display, Snapdragon 8 Gen 1 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Aluminosilicate glass.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic4-pro.jpg
X7,"Honor X7 Android smartphone. Announced Mar 2022. Features 6.74″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x7.jpg
10 Lite,"Honor 10 Lite Android smartphone. Announced Nov 2018. Features 6.21″  display, Kirin 710 chipset, 3400 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-10-lite.jpg
9 Lite,"Honor 9 Lite Android smartphone. Announced Dec 2017. Features 5.65″  display, Kirin 659 chipset, Dual: 13 MP (PDAF) + 2 MP primary camera, Dual: 13 MP + 2 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-9-lite.jpg
50 Pro,"Honor 50 Pro Android smartphone. Announced Jun 2021. Features 6.72″  display, Snapdragon 778G 5G chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-50-pro-.jpg
Magic V,"Honor Magic V Android smartphone. Announced Jan 2022. Features 7.9″  display, Snapdragon 8 Gen 1 chipset, 4750 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic-v.jpg
60 Pro,"Honor 60 Pro Android smartphone. Announced Dec 2021. Features 6.78″  display, Snapdragon 778G+ 5G chipset, 4800 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-60-pro-r.jpg
60 SE,"Honor 60 SE Android smartphone. Announced Feb 2022. Features 6.67″  display, MediaTek MT6877 Dimensity 900 5G chipset, 4300 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-60-se.jpg
7X,"Honor 7X Android smartphone. Announced Dec 2017. Features 5.93″  display, Kirin 659 chipset, Dual: 16 MP (f/2.2, 26mm, 1/2.9″, 1.25µm, PDAF) + 2 MP primary camera, 8 MP front camera, 3340 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-7x.jpg
10,"Honor 10 Android smartphone. Announced May 2018. Features 5.84″  display, Kirin 970 chipset, Dual: 16 MP (f/1.8) + 24 MP primary camera, 24 MP front camera, 3400 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-10-.jpg
Play,"Honor Play Android smartphone. Announced Jul 2018. Features 6.3″  display, Kirin 970 chipset, 3750 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-play-ofic.jpg
X30,"Honor X30 Android smartphone. Announced Dec 2021. Features 6.81″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x30.jpg
60,"Honor 60 Android smartphone. Announced Dec 2021. Features 6.67″  display, Snapdragon 778G 5G chipset, 4800 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-60-r.jpg
9X,"Honor 9X Android smartphone. Announced Oct 2019. Features 6.59″  display, Kirin 710F chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-9x-global-new.jpg
