name,description,img
Wildfire E2 Plus,"HTC Wildfire E2 Plus Android smartphone. Announced Dec 2021. Features 6.82″  display, Unisoc T610 chipset, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg
Desire 21 Pro 5G,"HTC Desire 21 Pro 5G Android smartphone. Announced Jan 2021. Features 6.7″  display, Snapdragon 690 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg
U11,"HTC U11 Android smartphone. Announced May 2017. Features 5.5″  display, Snapdragon 835 chipset, 12 MP primary camera, 16 MP front camera, 3000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/htc-u11.jpg
One (M8),"HTC One (M8) Android smartphone. Announced Mar 2014. Features 5.0″  display, Snapdragon 801 chipset, Dual: 4 MP primary camera, 5 MP front camera, 2600 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/htc-one-m8.jpg
U20 5G,"HTC U20 5G Android smartphone. Announced Jun 2020. Features 6.8″  display, Snapdragon 765G 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-u20-5g.jpg
One,"HTC One Android smartphone. Announced Feb 2013. Features 4.7″  display, Snapdragon 600 chipset, 4 MP primary camera, 2.1 MP front camera, 2300 mAh battery, 64 GB storage, 2 GB RAM, Corning Gorilla Glass 2.",https://fdn2.gsmarena.com/vv/bigpic/htc-one-m7-new1.jpg
10,"HTC 10 Android smartphone. Announced Apr 2016. Features 5.2″  display, Snapdragon 820 chipset, 12 MP primary camera, 5 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/htc-10-r.jpg
Desire 20+,"HTC Desire 20+ Android smartphone. Announced Oct 2020. Features 6.5″  display, Snapdragon 720G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-desire-20-plus.jpg
Wildfire E3,"HTC Wildfire E3 Android smartphone. Announced Mar 2021. Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3.jpg
U12+,"HTC U12+ Android smartphone. Announced May 2018. Features 6.0″  display, Snapdragon 845 chipset, 3500 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/htc-u12-plus-.jpg
