name,description,img
Edge 30 Pro,"Motorola Edge 30 Pro Android smartphone. Announced Jan 2022. Features 6.7″  display, Snapdragon 8 Gen 1 chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-30-pro.jpg
Moto G22,"Motorola Moto G22 Android smartphone. Announced Mar 2022. Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g22.jpg
Edge 20,"Motorola Edge 20 Android smartphone. Announced Jul 2021. Features 6.7″  display, Snapdragon 778G 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-20.jpg
Edge X30,"Motorola Edge X30 Android smartphone. Announced Dec 2021. Features 6.7″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-edge-x30.jpg
Edge 20 Pro,"Motorola Edge 20 Pro Android smartphone. Announced Jul 2021. Features 6.7″  display, Snapdragon 870 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge20-pro-.jpg
Moto G31,"Motorola Moto G31 Android smartphone. Announced Nov 2021. Features 6.4″  display, MediaTek Helio G85 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g31-baby-blue.jpg
Moto G71 5G,"Motorola Moto G71 5G Android smartphone. Announced Nov 2021. Features 6.4″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g71-5g-neptune-green.jpg
Moto G Stylus (2022),"Motorola Moto G Stylus (2022) Android smartphone. Announced Feb 2022. Features 6.8″  display, MediaTek Helio G88 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-2022.jpg
Moto G200 5G,"Motorola Moto G200 5G Android smartphone. Announced Nov 2021. Features 6.8″  display, Snapdragon 888+ 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g200-5g-glacier-green.jpg
Moto G60,"Motorola Moto G60 Android smartphone. Announced Apr 2021. Features 6.8″  display, Snapdragon 732G chipset, 6000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g60.jpg
