name,description,img
G21,"Nokia G21 Android smartphone. Announced Feb 2022. Features 6.5″  display, Unisoc T606 chipset, 5050 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g21-dusk.jpg
C21 Plus,"Nokia C21 Plus Android smartphone. Announced Feb 2022. Features 6.52″  display, Unisoc SC9863A chipset, 5050 mAh battery, 64 GB storage, 4 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c21-plus-gray.jpg
XR20,"Nokia XR20 Android smartphone. Announced Jul 2021. Features 6.67″  display, Snapdragon 480 5G chipset, 4630 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/nokia-xr20-ultra-blue.jpg
6.1 Plus (Nokia X6),"Nokia 6.1 Plus (Nokia X6) Android smartphone. Announced Jul 2018. Features 5.8″  display, Snapdragon 636 chipset, 3060 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-61-plus.jpg
X100,"Nokia X100 Android smartphone. Announced Nov 2021. Features 6.67″  display, Snapdragon 480 5G chipset, 4470 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-x100.jpg
G11,"Nokia G11 Android smartphone. Announced Feb 2022. Features 6.5″  display, Unisoc T606 chipset, 5050 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g11.jpg
G20,"Nokia G20 Android smartphone. Announced Apr 2021. Features 6.52″  display, MediaTek MT6765G Helio G35 chipset, 5050 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g20.jpg
G50,"Nokia G50 Android smartphone. Announced Sep 2021. Features 6.82″  display, Snapdragon 480 5G chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g50.jpg
G10,"Nokia G10 Android smartphone. Announced Apr 2021. Features 6.52″  display, MediaTek MT6762G Helio G25 chipset, 5050 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g10.jpg
X20,"Nokia X20 Android smartphone. Announced Apr 2021. Features 6.67″  display, Snapdragon 480 5G chipset, 4470 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/nokia-x20.jpg
T20,"Nokia T20 Android tablet. Announced Oct 2021. Features 10.4″  display, Unisoc T610 chipset, 8200 mAh battery, 64 GB storage, 4 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/nokia-t20-.jpg
6310 (2021),"Nokia 6310 (2021) phone. Announced Jul 2021. Features 2.8″  display, Unisoc 6531F chipset, 1150 mAh battery, 16 MB storage, 8 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-6310-2021.jpg
5.4,"Nokia 5.4 Android smartphone. Announced Dec 2020. Features 6.39″  display, Snapdragon 662 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-54-2020.jpg
C2 2nd Edition,"Nokia C2 2nd Edition Android smartphone. Announced Feb 2022. Features 5.7″  display, 2400 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-2nd-edition-blue.jpg
9 PureView,"Nokia 9 PureView Android smartphone. Announced Feb 2019. Features 5.99″  display, Snapdragon 845 chipset, 3320 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/nokia-9-pureview-.jpg
C21,"Nokia C21 Android smartphone. Announced Feb 2022. Features 6.52″  display, Unisoc SC9863A chipset, 3000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c21-gray.jpg
C20,"Nokia C20 Android smartphone. Announced Apr 2021. Features 6.52″  display, Unisoc SC9863A chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c20.jpg
X10,"Nokia X10 Android smartphone. Announced Apr 2021. Features 6.67″  display, Snapdragon 480 5G chipset, 4470 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-x10.jpg
5.1 Plus (Nokia X5),"Nokia 5.1 Plus (Nokia X5) Android smartphone. Announced Jul 2018. Features 5.86″  display, MT6771 Helio P60 chipset, Dual: 13 MP (f/2.0, PDAF) + 5 MP primary camera, 8 MP front camera, 3060 mAh battery, 64 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-x5-51-plus.jpg
8.3 5G,"Nokia 8.3 5G Android smartphone. Announced Mar 2020. Features 6.81″  display, Snapdragon 765G 5G chipset, 4500 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-83-5g.jpg
C30,"Nokia C30 Android smartphone. Announced Jul 2021. Features 6.82″  display, Unisoc SC9863A chipset, 6000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c30.jpg
6.1,"Nokia 6.1 Android smartphone. Announced Jan 2018. Features 5.5″  display, Snapdragon 630 chipset, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-6-2018.jpg
6300 4G,"Nokia 6300 4G smartphone. Announced Nov 2020. Features 2.4″  display, Snapdragon 210 chipset, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-6300-4g.jpg
6,"Nokia 6 Android smartphone. Announced Jan 2017. Features 5.5″  display, Snapdragon 430 chipset, 16 MP primary camera, 8 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-6.jpg
105 (2017),"Nokia 105 (2017) phone. Announced Jul 2017. Features 1.8″  display, 800 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2017.jpg
1.4,"Nokia 1.4 Android smartphone. Announced Feb 2021. Features 6.52″  display, Snapdragon 215 chipset, 4000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-14.jpg
3.4,"Nokia 3.4 Android smartphone. Announced Sep 2020. Features 6.39″  display, Snapdragon 460 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-34.jpg
8000 4G,"Nokia 8000 4G smartphone. Announced Nov 2020. Features 2.8″  display, Snapdragon 210 chipset, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-8800-4g.jpg
7 plus,"Nokia 7 plus Android smartphone. Announced Feb 2018. Features 6.0″  display, Snapdragon 660 chipset, Dual: 12 MP (f/1.8, 25mm, 1.4µm) + 13 MP primary camera, 16 MP front camera, 3800 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-7-plus-.jpg
8,"Nokia 8 Android smartphone. Announced Aug 2017. Features 5.3″  display, Snapdragon 835 chipset, Dual: 13 MP primary camera, 13 MP front camera, 3090 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/nokia-8-.jpg
