name,description,img
10 Pro,"OnePlus 10 Pro Android smartphone. Announced Jan 2022. Features 6.7″  display, Snapdragon 8 Gen 1 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-10-pro.jpg
Nord CE 2 5G,"OnePlus Nord CE 2 5G Android smartphone. Announced Feb 2022. Features 6.43″  display, MediaTek MT6877 Dimensity 900 5G chipset, 4500 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-5g.jpg
Nord 2 5G,"OnePlus Nord 2 5G Android smartphone. Announced Jul 2021. Features 6.43″  display, MediaTek MT6893 Dimensity 1200 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-2-5g-new.jpg
9 Pro,"OnePlus 9 Pro Android smartphone. Announced Mar 2021. Features 6.7″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-pro-.jpg
9RT 5G,"OnePlus 9RT 5G Android smartphone. Announced Oct 2021. Features 6.62″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-rt-r.jpg
9,"OnePlus 9 Android smartphone. Announced Mar 2021. Features 6.55″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-.jpg
9R,"OnePlus 9R Android smartphone. Announced Mar 2021. Features 6.55″  display, Snapdragon 870 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-9r.jpg
8T,"OnePlus 8T Android smartphone. Announced Oct 2020. Features 6.55″  display, Snapdragon 865 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-8t.jpg
Nord CE 5G,"OnePlus Nord CE 5G Android smartphone. Announced Jun 2021. Features 6.43″  display, Snapdragon 750G 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-5g.jpg
6,"OnePlus 6 Android smartphone. Announced May 2018. Features 6.28″  display, Snapdragon 845 chipset, 3300 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-6-red.jpg
6T,"OnePlus 6T Android smartphone. Announced Oct 2018. Features 6.41″  display, Snapdragon 845 chipset, 3700 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-6t-thunder-purple.jpg
