name,description,img
Xperia 1,"Sony Xperia 1 Android smartphone. Announced Feb 2019. Features 6.5″  display, Snapdragon 855 chipset, 3330 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1.jpg
Xperia Pro-I,"Sony Xperia Pro-I Android smartphone. Announced Oct 2021. Features 6.5″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-i.jpg
Xperia 1 III,"Sony Xperia 1 III Android smartphone. Announced Apr 2021. Features 6.5″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iii.jpg
Xperia XZ3,"Sony Xperia XZ3 Android smartphone. Announced Aug 2018. Features 6.0″  display, Snapdragon 845 chipset, 19 MP primary camera, 13 MP front camera, 3300 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz3-.jpg
Xperia 5 III,"Sony Xperia 5 III Android smartphone. Announced Apr 2021. Features 6.1″  display, Snapdragon 888 5G chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iii.jpg
Xperia XZ2,"Sony Xperia XZ2 Android smartphone. Announced Feb 2018. Features 5.7″  display, Snapdragon 845 chipset, 19 MP primary camera, 5 MP front camera, 3180 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-.jpg
Xperia 10 III,"Sony Xperia 10 III Android smartphone. Announced Apr 2021. Features 6.0″  display, Snapdragon 690 5G chipset, 4500 mAh battery, 256 GB storage, 6 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii.jpg
Xperia 5,"Sony Xperia 5 Android smartphone. Announced Sep 2019. Features 6.1″  display, Snapdragon 855 chipset, 3140 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-.jpg
Xperia XZ1,"Sony Xperia XZ1 Android smartphone. Announced Aug 2017. Features 5.2″  display, Snapdragon 835 chipset, 19 MP primary camera, 13 MP front camera, 2700 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-ofic.jpg
Xperia 10 III Lite,"Sony Xperia 10 III Lite Android smartphone. Announced Aug 2021. Features 6.0″  display, Snapdragon 690 5G chipset, 4500 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii-lite.jpg
Xperia XZ,"Sony Xperia XZ Android smartphone. Announced Sep 2016. Features 5.2″  display, Snapdragon 820 chipset, 23 MP primary camera, 13 MP front camera, 2900 mAh battery, 64 GB storage, 3 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz.jpg
Xperia 5 II,"Sony Xperia 5 II Android smartphone. Announced Sep 2020. Features 6.1″  display, Snapdragon 865 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-ii-5g-r.jpg
Xperia XZ Premium,"Sony Xperia XZ Premium Android smartphone. Announced Feb 2017. Features 5.46″  display, Snapdragon 835 chipset, 19 MP primary camera, 13 MP front camera, 3230 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz-premium-2017.jpg
Xperia 1 II,"Sony Xperia 1 II Android smartphone. Announced Feb 2020. Features 6.5″  display, Snapdragon 865 5G chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-II-o.jpg
Xperia Pro,"Sony Xperia Pro Android smartphone. Announced Feb 2020. Features 6.5″  display, Snapdragon 865 5G chipset, 4000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-5g.jpg
Xperia XZ2 Compact,"Sony Xperia XZ2 Compact Android smartphone. Announced Feb 2018. Features 5.0″  display, Snapdragon 845 chipset, 19 MP primary camera, 5 MP front camera, 2870 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-compact-.jpg
Xperia XZ1 Compact,"Sony Xperia XZ1 Compact Android smartphone. Announced Aug 2017. Features 4.6″  display, Snapdragon 835 chipset, 19 MP primary camera, 8 MP front camera, 2700 mAh battery, 32 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-compact.jpg
Xperia XZ2 Premium,"Sony Xperia XZ2 Premium Android smartphone. Announced Apr 2018. Features 5.8″  display, Snapdragon 845 chipset, 3540 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-premium.jpg
Xperia Z5,"Sony Xperia Z5 Android smartphone. Announced Sep 2015. Features 5.2″  display, Snapdragon 810 chipset, 23 MP primary camera, 5.1 MP front camera, 2900 mAh battery, 32 GB storage, 3 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/sony-z5-.jpg
Xperia 10,"Sony Xperia 10 Android smartphone. Announced Feb 2019. Features 6.0″  display, Snapdragon 630 chipset, 2870 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-.jpg
Xperia XZs,"Sony Xperia XZs Android smartphone. Announced Feb 2017. Features 5.2″  display, Snapdragon 820 chipset, 19 MP primary camera, 13 MP front camera, 2900 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xzs-2017.jpg
